# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 1 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-GEOD-153970
# Timestamp: Thu, 16-Mar-2023 02:36:02
Gene ID	Gene Name	'Severe acute respiratory syndrome coronavirus 2' vs 'mock' .foldChange	'Severe acute respiratory syndrome coronavirus 2' vs 'mock'.pValue
ENSG00000000003	TSPAN6	-0.2	0.359294923261649
ENSG00000000419	DPM1	0.3	0.237983074859382
ENSG00000000460	C1orf112	0.3	0.434072220340312
ENSG00000001036	FUCA2	-0.1	0.694611622122172
ENSG00000001084	GCLC	-0.5	0.00195540995907177
ENSG00000001167	NFYA	-0.2	0.440851741860914
ENSG00000001460	STPG1	0.1	0.800317069353386
ENSG00000001461	NIPAL3	-0.1	0.776323991354046
ENSG00000001561	ENPP4	0.1	0.765667951131117
ENSG00000001617	SEMA3F	-0.1	0.389052070600917
ENSG00000001626	CFTR	0.6	0.0940632684244001
ENSG00000002016	RAD52	0.1	0.920757764102321
ENSG00000002079	MYH16	0.4	0.107802559580255
ENSG00000002549	LAP3	0.1	0.843958451749844
ENSG00000002586	CD99	0.2	0.195579665240757
ENSG00000002587	HS3ST1	0.5	0.00175044934931324
ENSG00000002834	LASP1	0.2	0.298031063192771
ENSG00000002919	SNX11	0.1	0.798475252478913
ENSG00000003056	M6PR	-0.2	0.311870908234086
ENSG00000003096	KLHL13	-0.5	0.0282262810565929
ENSG00000003137	CYP26B1	-0.7	0.0583603554080115
ENSG00000003147	ICA1	0.2	0.477287967092173
ENSG00000003249	DBNDD1	0.3	0.316416481138638
ENSG00000003393	ALS2	-0.4	0.0335262443466557
ENSG00000003400	CASP10	0.1	0.860629260620194
ENSG00000003402	CFLAR	0.3	0.0614636786106331
ENSG00000003436	TFPI	-0.4	0.0276035779377391
ENSG00000003509	NDUFAF7	-0.1	0.898192846813979
ENSG00000003756	RBM5	-0.1	0.782985225296478
ENSG00000003989	SLC7A2	0.6	0.0997154338157384
