Gene ID	Gene Name	SRR12168547	SRR12168546	SRR12168545	SRR12168544	SRR12168543	SRR12168542	SRR12168541	SRR12168540	SRR12168539	SRR12168538	SRR12168537	SRR12168536
ENSG00000000003	TSPAN6	1263	1129	1310	1320	1181	1127	1559	1536	1187	1209	1034	950
ENSG00000000005	TNMD	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	DPM1	412	378	385	378	392	424	395	387	274	280	218	234
ENSG00000000457	SCYL3	98	95	95	96	91	91	119	95	74	88	66	65
ENSG00000000460	C1orf112	51	68	57	53	39	46	45	43	28	32	39	35
ENSG00000000938	FGR	4	7	8	2	4	1	8	4	3	3	2	6
ENSG00000000971	CFH	857	813	625	606	807	832	950	918	609	638	571	591
ENSG00000001036	FUCA2	771	755	951	892	639	694	864	900	758	736	659	601
ENSG00000001084	GCLC	453	437	516	530	437	443	681	720	602	606	485	451
ENSG00000001167	NFYA	351	355	370	402	304	320	396	399	305	364	310	333
ENSG00000001460	STPG1	240	251	247	265	202	223	217	200	176	178	214	210
ENSG00000001461	NIPAL3	1796	1889	1820	1855	1729	1658	1883	1917	1499	1466	1655	1667
ENSG00000001497	LAS1L	473	535	501	559	458	478	462	472	422	440	453	480
ENSG00000001561	ENPP4	91	87	84	100	99	81	104	117	59	82	33	48
ENSG00000001617	SEMA3F	2452	2290	2340	2385	2309	2385	2854	2843	2131	2091	2158	2059
ENSG00000001626	CFTR	39	40	30	25	35	33	17	17	11	14	22	21
ENSG00000001629	ANKIB1	314	311	382	360	335	324	404	411	274	289	244	255
ENSG00000001630	CYP51A1	89	81	84	86	76	105	98	80	54	63	102	89
ENSG00000001631	KRIT1	22	26	25	21	21	18	26	28	20	16	21	13
ENSG00000002016	RAD52	42	45	41	55	46	43	62	40	22	38	31	42
ENSG00000002079	MYH16	121	138	234	191	148	137	114	111	105	82	117	103
ENSG00000002330	BAD	493	479	559	503	425	464	510	525	378	407	439	436
ENSG00000002549	LAP3	500	516	503	525	521	507	543	484	407	368	432	424
ENSG00000002586	CD99	1182	1204	1461	1396	1170	1093	1109	1101	819	849	904	1022
ENSG00000002587	HS3ST1	698	775	708	662	613	587	559	538	349	314	413	441
ENSG00000002726	AOC1	1	0	1	1	0	0	1	1	0	1	0	0
ENSG00000002745	WNT16	0	0	3	0	0	1	1	1	1	0	0	0
ENSG00000002746	HECW1	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000002822	MAD1L1	552	537	629	618	515	468	487	565	446	449	494	478
ENSG00000002834	LASP1	2369	2365	2629	2517	2167	2078	2153	2144	1614	1625	1870	1874
ENSG00000002919	SNX11	390	399	412	377	379	370	347	333	282	293	334	370
ENSG00000002933	TMEM176A	0	0	0	0	0	0	2	1	0	1	0	1
ENSG00000003056	M6PR	1195	1119	1282	1216	1039	1056	1361	1312	1080	1135	1024	1033
ENSG00000003096	KLHL13	82	97	56	84	77	80	165	151	97	90	89	75
ENSG00000003137	CYP26B1	13	10	7	13	19	17	23	23	26	13	35	27
ENSG00000003147	ICA1	203	230	294	267	236	217	235	225	158	145	198	181
ENSG00000003249	DBNDD1	543	571	846	786	470	447	454	425	420	410	489	457
ENSG00000003393	ALS2	288	289	362	340	267	256	344	378	379	358	328	328
ENSG00000003400	CASP10	83	96	82	97	84	69	75	92	63	64	70	68
ENSG00000003402	CFLAR	1808	1912	1908	1951	1471	1528	1506	1508	1219	1172	1197	1289
ENSG00000003436	TFPI	493	516	452	488	484	493	708	684	593	609	476	420
ENSG00000003509	NDUFAF7	78	110	120	111	108	119	121	123	91	92	102	80
ENSG00000003756	RBM5	394	353	369	356	324	321	412	397	322	319	297	270
ENSG00000003987	MTMR7	2	5	6	9	5	5	1	4	0	2	0	1
ENSG00000003989	SLC7A2	40	41	34	47	82	58	21	27	19	17	36	35
ENSG00000004059	ARF5	1563	1592	1473	1473	1370	1340	1379	1444	998	1060	1295	1263
ENSG00000004139	SARM1	9	4	6	9	5	7	8	11	8	5	7	9
ENSG00000004142	POLDIP2	1723	1749	2090	2090	1548	1474	1932	1967	1608	1703	1739	1637
ENSG00000004399	PLXND1	15	30	16	6	17	19	29	28	30	20	39	45
ENSG00000004455	AK2	1456	1621	1522	1496	1347	1393	1404	1388	1108	1057	1185	1158
ENSG00000004468	CD38	0	2	1	0	3	2	5	7	4	4	7	5
ENSG00000004478	FKBP4	868	977	1196	1181	835	846	1021	1031	1082	1113	961	1005
ENSG00000004487	KDM1A	1986	2023	2335	2330	1947	1992	2124	2213	1837	1747	1775	1679
ENSG00000004534	RBM6	380	368	415	401	401	368	445	454	340	356	351	314
ENSG00000004660	CAMKK1	14	12	18	12	14	11	30	29	8	11	14	33
ENSG00000004700	RECQL	416	458	565	546	464	520	498	463	361	366	327	321
ENSG00000004766	VPS50	278	279	287	274	247	267	295	295	207	193	161	193
ENSG00000004776	HSPB6	0	0	0	1	0	0	0	0	1	0	0	3
ENSG00000004777	ARHGAP33	1	0	1	0	1	0	0	0	0	0	0	0
ENSG00000004779	NDUFAB1	938	951	919	969	822	819	935	930	704	735	622	677
ENSG00000004799	PDK4	83	78	82	94	55	61	273	297	278	303	189	189
ENSG00000004809	SLC22A16	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000004838	ZMYND10	7	3	10	3	4	3	2	3	3	6	2	6
ENSG00000004846	ABCB5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004848	ARX	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000004864	SLC25A13	326	277	300	282	293	237	338	321	168	187	192	190
ENSG00000004866	ST7	332	349	449	368	296	305	318	327	272	261	284	268
ENSG00000004897	CDC27	456	418	467	429	447	392	433	470	322	342	346	301
ENSG00000004939	SLC4A1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004948	CALCR	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004961	HCCS	884	807	873	834	729	757	931	895	684	669	622	587
ENSG00000004975	DVL2	326	335	373	382	245	283	511	471	329	382	365	357
ENSG00000005001	PRSS22	1784	1817	1934	1857	1954	1960	1363	1393	1315	1370	1333	1414
ENSG00000005007	UPF1	1206	1229	1400	1453	978	990	1166	1269	1190	1284	1492	1398
ENSG00000005020	SKAP2	622	627	659	708	655	729	706	698	488	516	428	459
ENSG00000005022	SLC25A5	2152	2100	2139	1986	1808	1835	2512	2572	2006	1937	1733	1844
ENSG00000005059	MCUB	210	191	232	245	198	188	208	183	134	116	146	140
ENSG00000005073	HOXA11	5	5	26	16	8	11	6	7	8	14	4	6
ENSG00000005075	POLR2J	433	418	396	487	429	419	406	464	289	312	325	353
ENSG00000005100	DHX33	29	29	21	30	28	29	42	33	37	34	21	26
ENSG00000005102	MEOX1	0	0	0	1	1	0	3	0	1	4	2	1
ENSG00000005108	THSD7A	95	92	115	111	75	69	118	130	151	148	145	145
ENSG00000005156	LIG3	241	251	291	269	251	213	226	207	233	216	271	264
ENSG00000005175	RPAP3	179	174	217	207	172	184	236	198	212	181	157	121
ENSG00000005187	ACSM3	1	1	5	0	0	1	4	4	1	4	3	1
ENSG00000005189	REXO5	12	16	21	16	27	10	8	19	9	7	12	17
ENSG00000005194	CIAPIN1	1085	1078	1274	1233	1043	1035	1002	948	818	825	902	921
ENSG00000005206	SPPL2B	251	240	227	199	217	203	188	201	174	135	207	193
ENSG00000005238	FAM214B	1149	1041	1198	1216	1089	991	1034	962	629	636	811	875
ENSG00000005243	COPZ2	220	193	146	152	209	192	166	172	103	84	136	109
ENSG00000005249	PRKAR2B	7	5	2	2	12	4	26	20	38	42	14	15
ENSG00000005302	MSL3	273	249	291	294	263	281	256	292	262	232	218	221
ENSG00000005339	CREBBP	199	205	223	262	201	216	254	245	193	176	230	218
ENSG00000005379	TSPOAP1	5	5	3	4	3	3	15	13	13	5	3	10
ENSG00000005381	MPO	1	1	2	3	0	0	0	0	0	0	0	0
ENSG00000005421	PON1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005436	GCFC2	80	84	100	98	74	64	86	111	68	78	65	71
ENSG00000005448	WDR54	423	407	446	377	364	357	405	364	278	340	401	384
ENSG00000005469	CROT	1029	1017	906	914	903	944	1733	1782	1221	1172	861	913
ENSG00000005471	ABCB4	0	0	0	0	0	0	2	0	1	1	0	0
ENSG00000005483	KMT2E	592	576	555	560	557	524	680	674	518	525	457	437
ENSG00000005486	RHBDD2	2255	2312	2360	2318	1723	1810	3150	3073	2398	2250	2405	2371
ENSG00000005513	SOX8	0	0	0	0	0	2	0	2	0	0	0	0
ENSG00000005700	IBTK	701	748	870	855	829	878	749	718	534	514	461	501
ENSG00000005801	ZNF195	270	289	305	289	271	232	270	236	212	200	166	189
ENSG00000005810	MYCBP2	164	142	139	164	160	136	204	199	116	130	183	193
ENSG00000005812	FBXL3	442	474	382	402	479	495	498	534	356	346	256	235
ENSG00000005844	ITGAL	0	0	0	0	0	1	0	3	1	0	0	0
ENSG00000005882	PDK2	190	168	161	155	131	133	221	262	146	135	156	163
ENSG00000005884	ITGA3	13580	13552	12673	12441	12769	12325	13966	14184	10784	10665	13429	13277
ENSG00000005889	ZFX	402	335	375	335	323	315	355	379	304	277	246	263
ENSG00000005893	LAMP2	5654	5571	5525	5541	5322	5401	7175	7216	5374	5260	4353	4272
ENSG00000005961	ITGA2B	0	0	2	0	0	0	8	3	5	5	0	2
ENSG00000005981	ASB4	0	0	0	1	0	0	3	2	2	2	3	1
ENSG00000006007	GDE1	1510	1536	1694	1691	1355	1311	1751	1854	1567	1588	1456	1570
ENSG00000006015	REX1BD	419	431	419	420	364	352	360	397	274	288	343	376
ENSG00000006016	CRLF1	50	65	35	38	66	60	60	65	35	40	72	53
ENSG00000006025	OSBPL7	171	164	191	180	150	159	181	202	120	152	153	134
ENSG00000006042	TMEM98	1263	1279	1384	1333	1214	1187	1296	1271	877	840	1064	1009
ENSG00000006047	YBX2	0	4	2	3	2	5	4	4	5	1	5	7
ENSG00000006059	KRT33A	1	4	2	1	1	0	1	1	3	0	0	0
ENSG00000006062	MAP3K14	48	60	85	94	36	48	57	71	69	60	91	74
ENSG00000006071	ABCC8	0	0	2	2	0	0	0	0	1	0	0	0
ENSG00000006116	CACNG3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006118	TMEM132A	10295	10322	10291	10073	8810	8885	7111	7176	5493	5657	6369	6275
ENSG00000006125	AP2B1	2322	2341	2796	2728	2580	2544	2128	2107	1742	1687	1805	1824
ENSG00000006128	TAC1	1	0	1	5	0	1	1	0	0	0	0	0
ENSG00000006194	ZNF263	379	376	474	466	373	328	383	465	350	383	405	373
