,gene_id,gene_name,p_value,fold_change_log2
0,ENSG00000000003,TSPAN6,0.359294923261649,-0.2
2,ENSG00000000419,DPM1,0.237983074859382,0.3
3,ENSG00000000457,SCYL3,0.978806648623575,0.0
4,ENSG00000000460,C1orf112,0.434072220340312,0.3
6,ENSG00000000971,CFH,0.925647022539077,0.0
7,ENSG00000001036,FUCA2,0.694611622122172,-0.1
8,ENSG00000001084,GCLC,0.0019554099590717,-0.5
9,ENSG00000001167,NFYA,0.440851741860914,-0.2
10,ENSG00000001460,STPG1,0.800317069353386,0.1
11,ENSG00000001461,NIPAL3,0.776323991354046,-0.1
12,ENSG00000001497,LAS1L,0.929652490006464,0.0
13,ENSG00000001561,ENPP4,0.765667951131117,0.1
14,ENSG00000001617,SEMA3F,0.389052070600917,-0.1
15,ENSG00000001626,CFTR,0.0940632684244001,0.6
16,ENSG00000001629,ANKIB1,0.936615893251442,0.0
17,ENSG00000001630,CYP51A1,0.929464892734405,0.0
18,ENSG00000001631,KRIT1,0.965788673023196,0.0
19,ENSG00000002016,RAD52,0.920757764102321,0.1
20,ENSG00000002079,MYH16,0.107802559580255,0.4
21,ENSG00000002330,BAD,0.896184137408542,0.0
22,ENSG00000002549,LAP3,0.843958451749844,0.1
23,ENSG00000002586,CD99,0.195579665240757,0.2
24,ENSG00000002587,HS3ST1,0.0017504493493132,0.5
28,ENSG00000002822,MAD1L1,0.957467242566511,0.0
29,ENSG00000002834,LASP1,0.298031063192771,0.2
30,ENSG00000002919,SNX11,0.798475252478913,0.1
32,ENSG00000003056,M6PR,0.311870908234086,-0.2
33,ENSG00000003096,KLHL13,0.0282262810565929,-0.5
34,ENSG00000003137,CYP26B1,0.0583603554080115,-0.7
35,ENSG00000003147,ICA1,0.477287967092173,0.2
36,ENSG00000003249,DBNDD1,0.316416481138638,0.3
37,ENSG00000003393,ALS2,0.0335262443466557,-0.4
38,ENSG00000003400,CASP10,0.860629260620194,0.1
39,ENSG00000003402,CFLAR,0.0614636786106331,0.3
40,ENSG00000003436,TFPI,0.0276035779377391,-0.4
41,ENSG00000003509,NDUFAF7,0.898192846813979,-0.1
42,ENSG00000003756,RBM5,0.782985225296478,-0.1
44,ENSG00000003989,SLC7A2,0.0997154338157384,0.6
45,ENSG00000004059,ARF5,0.719716789434872,0.1
46,ENSG00000004139,SARM1,0.741625814967074,-0.2
47,ENSG00000004142,POLDIP2,0.411129686941314,-0.1
48,ENSG00000004399,PLXND1,0.0363923982327182,-0.7
49,ENSG00000004455,AK2,0.504848931285088,0.1
51,ENSG00000004478,FKBP4,0.243896969334017,-0.2
52,ENSG00000004487,KDM1A,0.969528268842553,0.0
53,ENSG00000004534,RBM6,0.682101518025231,-0.1
